plate_id,plate_index,row,column,sample_id,sample_id2,species,reassign,rename,sex,latitude,longitude,year,month
plate2,46,D,10,kac_200,kac200,terrestris,terrestris,kac200_terrestris,f,32.959396,-86.624885,2020,3
plate2,47,D,11,kac_202,kac202,americanus,fowleri,kac202_fowleri,f,33.251041,-86.438502,2020,3
plate2,48,D,12,kac_203,kac203,fowleri,fowleri,kac203_fowleri,m,32.622944,-85.496597,2020,4
plate2,49,E,1,kac_204,kac204,americanus,fowleri,kac204_fowleri,j,32.622944,-85.496597,2020,4
plate2,50,E,2,kac_205,kac205,americanus,americanus,kac205_americanus,m,32.548519,-85.486919,2020,3
plate2,51,E,3,kac_206,kac206,terrestris,terrestris,kac206_terrestris,f,33.307591,-86.582013,2020,4
plate2,52,E,4,kac_207,kac207,terrestris,terrestris,kac207_terrestris,j,33.316847,-86.575965,2020,4
plate2,53,E,5,kac_208,kac208,americanus,americanus,kac208_americanus,m,33.098294,-86.565293,2020,4
plate2,54,E,6,kac_209,kac209,americanus,americanus,kac209_americanus,f,33.086002,-86.563938,2020,4
plate2,55,E,7,kac_210,kac210,americanus,americanus,kac210_americanus,m,33.086002,-86.563938,2020,4
plate2,56,E,8,kac_211,kac211,terrestris,terrestris,kac211_terrestris,m,33.014643,-86.609949,2020,4
plate2,57,E,9,kac_212,kac212,terrestris,terrestris,kac212_terrestris,m,33.012085,-86.617071,2020,4
plate2,58,E,10,kac_213,kac213,terrestris,terrestris,kac213_terrestris,f,33.004352,-86.637099,2020,4
plate2,59,E,11,kac_214,kac214,americanus,americanus,kac214_americanus,m,32.999914,-86.641813,2020,4
plate2,60,E,12,kac_215,kac215,terrestris,terrestris,kac215_terrestris,m,32.996047,-86.645262,2020,4
plate2,61,F,1,kac_216,kac216,terrestris,terrestris,kac216_terrestris,f,33.013457,-86.6096,2020,4
plate2,62,F,2,kac_217,kac217,terrestris,terrestris,kac217_terrestris,m,32.914699,-86.602699,2020,4
plate2,63,F,3,kac_218,kac218,terrestris,terrestris,kac218_terrestris,m,32.924322,-86.598953,2020,4
plate2,64,F,4,kac_219,kac219,terrestris,terrestris,kac219_terrestris,f,32.93987,-86.561135,2020,4
plate2,65,F,5,kac_220,kac220,americanus,americanus,kac220_americanus,m,32.96579,-86.508917,2020,4
plate2,66,F,6,kac_221,kac221,americanus,americanus,kac221_americanus,j,32.963888,-86.425495,2020,4
plate2,67,F,7,kac_223,kac223,americanus,terrestris,kac223_terrestris,m,32.533621,-85.798389,2020,4
plate2,68,F,8,kac_224,kac224,americanus,terrestris,kac224_terrestris,f,32.48869,-85.795555,2020,4
plate2,69,F,9,kac_225,kac225,americanus,terrestris,kac225_terrestris,f,32.501593,-85.798595,2020,4
plate2,70,F,10,kac_226,kac226,americanus,fowleri,kac226_fowleri,m,32.481193,-85.798379,2020,4
plate2,71,F,11,kac_230,kac230,terrestris,terrestris,kac230_terrestris,m,30.809332,-86.776858,2020,5
plate2,72,F,12,kac_232,kac232,terrestris,terrestris,kac232_terrestris,?,30.809216,-86.789938,2020,5
plate2,73,G,1,kac_233,kac233,terrestris,terrestris,kac233_terrestris,?,30.809216,-86.789938,2020,5
plate2,74,G,2,kac_234,kac234,terrestris,terrestris,kac234_terrestris,?,30.809216,-86.789938,2020,5
plate2,75,G,3,kac_236,kac236,terrestris,terrestris,kac236_terrestris,?,30.826322,-86.802577,2020,5
plate2,76,G,4,kac_237,kac237,terrestris,terrestris,kac237_terrestris,?,30.837332,-86.7763,2020,5
plate2,77,G,5,kac_238,kac238,terrestris,terrestris,kac238_terrestris,?,30.824332,-86.762838,2020,5
plate2,78,G,6,kac_239,kac239,terrestris,terrestris,kac239_terrestris,?,30.8016249,-86.7665909,2020,5
plate2,79,G,7,kac_240,kac240,americanus,fowleri,kac240_fowleri,f,32.6432798,-85.3711405,2020,6
plate2,80,G,8,kac_241,kac241,americanus,fowleri,kac241_fowleri,f,32.6432798,-85.3711405,2020,6
plate2,81,G,9,kac_242,kac242,americanus,americanus,kac242_americanus,m,34.504456,-85.637683,2020,7
plate2,82,G,10,kac_243,kac243,nebulifer,nebulifer,kac243_nebulifer,,,,,
plate2,83,G,11,kac_244,kac244,americanus,fowleri,kac244_fowleri,m,32.8926113,-93.8875622,2021,9
plate2,84,G,12,t_1020,t1020,terrestris,terrestris,t1020_terrestris,m,31.107834,-86.622468,2017,?
plate2,85,H,1,t_1030,t1030,terrestris,terrestris,t1030_terrestris,f,31.990423,-85.074232,2018,?
plate2,86,H,2,t_2004,t2004,americanus,americanus,t2004_americanus,f,33.582946,-85.73524,2018,?
plate2,87,H,3,t_2040,t2040,americanus,americanus,t2040_americanus,m,33.582945,-85.735393,2018,?
plate2,88,H,4,t_2043,t2043,americanus,americanus,t2043_americanus,f,32.816418,-86.38018,2018,?
plate2,89,H,5,t_3040,t3040,fowleri,fowleri,t3040_fowleri,m,32.386444,-85.235611,2018,?
plate2,90,H,6,t_2020,t2020,americanus,americanus,t2020_americanus,f,33.238526,-85.962698,2017,?
plate2,91,H,7,t_1040,t1040,terrestris,terrestris,t1040_terrestris,m,31.990158,-85.070458,2018,?
