"plate_id","plate_index","row","column","sample_id","sample_id2","species","reassign","rename","sex","latitude","longitude","year","month","group"
"plate1",83,"G",11,"kac_137","kac137","americanus","fowleri","kac137_fowleri","?",33.014605,-86.609529,2019,"4",1
"plate1",84,"G",12,"kac_138","kac138","americanus","americanus","kac138_americanus","?",32.702242,-85.661958,2019,"4",1
"plate1",85,"H",1,"kac_139","kac139","americanus","americanus","kac139_americanus","?",32.730416,-85.661728,2019,"4",4
"plate1",86,"H",2,"kac_140","kac140","terrestris","terrestris","kac140_terrestris","?",32.625533,-85.636835,2019,"4",3
"plate1",87,"H",3,"kac_141","kac141","terrestris","terrestris","kac141_terrestris","?",32.410323,-85.601075,2019,"4",3
"plate1",88,"H",4,"kac_142","kac142","terrestris","terrestris","kac142_terrestris","?",32.570111,-85.808878,2019,"4",3
"plate1",89,"H",5,"kac_143","kac143","terrestris","terrestris","kac143_terrestris","?",32.477727,-85.798238,2019,"4",3
"plate1",90,"H",6,"kac_144","kac144","terrestris","terrestris","kac144_terrestris","?",32.477069,-85.795772,2019,"4",3
"plate1",91,"H",7,"kac_145","kac145","terrestris","terrestris","kac145_terrestris","?",32.481285,-85.763541,2019,"4",3
"plate1",92,"H",8,"kac_146","kac146","terrestris","terrestris","kac146_terrestris","?",32.482906,-85.756219,2019,"4",3
"plate1",93,"H",9,"kac_147","kac147","terrestris","terrestris","kac147_terrestris","?",32.450012,-85.796522,2019,"4",3
"plate1",94,"H",10,"kac_148","kac148","terrestris","terrestris","kac148_terrestris","?",32.454201,-85.794082,2019,"4",3
"plate1",95,"H",11,"kac_149","kac149","terrestris","terrestris","kac149_terrestris","?",32.454491,-85.786639,2019,"4",3
"plate1",96,"H",12,"kac_150","kac150","terrestris","terrestris","kac150_terrestris","?",32.454491,-85.786639,2019,"4",3
"plate2",1,"A",1,"kac_151","kac151","terrestris","terrestris","kac151_terrestris","?",32.45451,-85.784163,2019,"4",3
