P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
fowleri	woodhousii	debilis	0.333511	2.40754	0.0160602	0.0120304	518.628	21.8216	10.9064
microscaphus	hemiophrys	debilis	0.0403071	0.228773	0.819045	0.00302419	216.688	16.9375	15.625
punctatus	debilis	hemiophrys	0.154506	1.11845	0.263375	0.0203505	126.875	33.625	24.625
hemiophrys	quercicus	debilis	0.118644	0.803061	0.42194	0.0142146	135	41.25	32.5
hemiophrys	speciosus	debilis	0.227299	1.79628	0.0724495	0.0285934	133.131	51.2333	32.2562
terrestris	hemiophrys	debilis	0.320357	2.18245	0.0290767	0.0223915	379.784	36.6197	18.8497
woodhousii	hemiophrys	debilis	0.249944	1.94877	0.051323	0.0181812	355.436	34.7342	20.843
punctatus	debilis	microscaphus	0.285922	1.68516	0.0919581	0.0317537	86.125	27.6875	15.375
microscaphus	quercicus	debilis	0.223815	1.20132	0.229626	0.0319233	86.0625	34.6875	22
microscaphus	speciosus	debilis	0.159727	0.925044	0.354943	0.0227894	88.3031	34.0344	24.6594
terrestris	microscaphus	debilis	0.323091	2.13215	0.0329946	0.0318571	240.125	33.6516	17.2166
woodhousii	microscaphus	debilis	0.219898	1.26348	0.206415	0.0211113	244.097	29.7476	19.0231
punctatus	debilis	quercicus	0.0559611	0.379011	0.704679	0.00515695	87.75	27.125	24.25
punctatus	debilis	speciosus	0.000124177	0.000875854	0.999301	1.33007e-05	102.842	25.1687	25.1625
punctatus	debilis	terrestris	0.213412	1.92508	0.0542191	0.0343437	152.011	39.8357	25.8233
punctatus	debilis	woodhousii	0.0608117	0.490563	0.623735	0.0101153	155.782	39.0171	34.5438
speciosus	quercicus	debilis	0.0829283	0.680389	0.496258	0.00741837	124.94	29.9396	25.3542
terrestris	quercicus	debilis	0.251313	2.00797	0.0446464	0.0306695	158.57	54.4167	32.5586
woodhousii	quercicus	debilis	0.285172	2.11038	0.0348254	0.0338567	155.949	52.3057	29.093
terrestris	speciosus	debilis	0.295879	2.24933	0.0244913	0.0428324	157.777	71.5399	38.8715
woodhousii	speciosus	debilis	0.34044	3.32715	0.000877376	0.0493259	159.158	72.407	35.6277
terrestris	woodhousii	debilis	0.165905	1.31903	0.187159	0.0128911	427.204	40.9685	29.3091
fowleri	hemiophrys	microscaphus	0.409321	3.59571	0.000323511	0.130959	62.656	169.71	71.1294
fowleri	hemiophrys	punctatus	0.514217	3.10233	0.00192003	0.0324388	426.092	31.6661	10.1589
fowleri	hemiophrys	quercicus	0.520965	4.37587	1.20948e-05	0.0413038	305.569	45.942	14.4696
fowleri	hemiophrys	speciosus	0.513971	7.60907	2.76084e-14	0.0591586	342.096	75.5376	24.2498
fowleri	terrestris	hemiophrys	0.198271	4.25682	2.07353e-05	0.0712647	118.843	182.773	122.288
fowleri	woodhousii	hemiophrys	0.531763	9.55572	2.3e-16	0.111279	292.041	134.911	41.2403
fowleri	microscaphus	punctatus	0.534488	3.19692	0.00138905	0.0512367	280.658	32.1518	9.75377
fowleri	microscaphus	quercicus	0.537596	4.10474	4.04778e-05	0.052459	209.064	42.3181	12.7264
fowleri	microscaphus	speciosus	0.730625	7.64109	2.15391e-14	0.126096	202.78	80.799	12.5765
terrestris	fowleri	microscaphus	0.0145294	0.214412	0.830226	0.00364463	80.8731	119.355	115.936
fowleri	woodhousii	microscaphus	0.645678	12.5055	2.3e-16	0.0940087	165.986	107.443	23.1329
fowleri	quercicus	punctatus	0.416517	3.35212	0.000801942	0.0634037	175.034	59.3403	24.4431
fowleri	speciosus	punctatus	0.487403	4.17099	3.03284e-05	0.0922143	192.002	88.9952	30.67
fowleri	terrestris	punctatus	0.235358	2.30035	0.0214282	0.0108895	525.346	21.0469	13.0273
fowleri	woodhousii	punctatus	0.419499	2.63102	0.00851287	0.0179159	614.147	22.2367	9.09365
fowleri	quercicus	speciosus	0.189214	1.97293	0.0485036	0.0524136	61.5894	104.54	71.2734
fowleri	terrestris	quercicus	0.151333	1.42818	0.15324	0.0125381	397.563	43.4993	32.0641
fowleri	woodhousii	quercicus	0.34697	2.66085	0.00779436	0.0155333	492.313	26.9061	13.0444
fowleri	terrestris	speciosus	0.146436	1.20736	0.227293	0.0163126	436.039	65.5405	48.7973
fowleri	woodhousii	speciosus	0.486827	6.72261	1.78497e-11	0.0359535	534.451	54.2081	18.7097
fowleri	woodhousii	terrestris	0.220608	4.87919	1.0652e-06	0.0936775	419.617	106.614	68.0759
hemiophrys	microscaphus	punctatus	0.186813	0.790913	0.428995	0.0110821	238.75	13.5	9.25
hemiophrys	microscaphus	quercicus	0.173585	1.03555	0.300411	0.0121629	165.438	19.4375	13.6875
hemiophrys	microscaphus	speciosus	0.258807	1.58812	0.112258	0.0281959	179.642	29.1833	17.1833
terrestris	hemiophrys	microscaphus	0.558893	4.16307	3.14003e-05	0.150503	80.3027	160.901	45.5289
woodhousii	hemiophrys	microscaphus	0.117093	1.07812	0.280978	0.0377256	61.3956	115.112	90.9801
hemiophrys	quercicus	punctatus	0.370079	2.64774	0.00810325	0.0493179	148.75	43.5	20
hemiophrys	speciosus	punctatus	0.327614	2.60168	0.00927689	0.0509328	162.042	55.7792	28.25
terrestris	hemiophrys	punctatus	0.188329	1.36534	0.172147	0.00952639	434.427	18.9803	12.9642
woodhousii	hemiophrys	punctatus	0.120506	0.689594	0.49045	0.00786791	418.892	22.9789	18.0363
quercicus	hemiophrys	speciosus	0.00372024	0.0311495	0.97515	0.00084086	53.275	56.2083	55.7917
terrestris	hemiophrys	quercicus	0.454398	3.41986	0.000626526	0.0346554	318.803	41.9688	15.7441
woodhousii	hemiophrys	quercicus	0.428358	3.40122	0.000670857	0.0320946	293.723	39.5143	15.814
terrestris	hemiophrys	speciosus	0.357974	3.14971	0.0016343	0.0383791	351.478	60.727	28.7107
woodhousii	hemiophrys	speciosus	0.312256	3.16944	0.00152734	0.0330862	327.664	55.0415	28.8469
terrestris	woodhousii	hemiophrys	0.0776957	1.12278	0.261533	0.0336664	91.1498	177.615	152.005
microscaphus	quercicus	punctatus	0.371429	1.92878	0.0537579	0.0614657	102.375	36	16.5
microscaphus	speciosus	punctatus	0.359467	2.12644	0.0334664	0.0675258	108.7	43.35	20.425
terrestris	microscaphus	punctatus	0.321591	2.12118	0.0339069	0.0249087	265.639	21.0875	10.8248
woodhousii	microscaphus	punctatus	0.268771	1.66107	0.0966992	0.0268217	279.215	25.9235	14.9405
microscaphus	quercicus	speciosus	0.0527649	0.486635	0.626517	0.0133732	37.9083	46.7417	42.0562
terrestris	microscaphus	quercicus	0.482499	3.66789	0.000244556	0.0472083	190.612	40.6851	14.2021
woodhousii	microscaphus	quercicus	0.530257	3.20724	0.00134016	0.0433758	210.965	34.6597	10.6395
terrestris	microscaphus	speciosus	0.565821	5.63611	1.73932e-08	0.0984716	186.787	70.114	19.4416
woodhousii	microscaphus	speciosus	0.373838	2.8025	0.00507083	0.0615417	209.008	53.9644	24.5957
terrestris	woodhousii	microscaphus	0.326576	4.95965	7.06199e-07	0.0921148	61.3103	167.63	85.0956
speciosus	quercicus	punctatus	0.0142426	0.0864999	0.931069	0.00185654	134.817	30.1167	29.2708
terrestris	quercicus	punctatus	0.370555	2.77976	0.0054399	0.056493	174.841	57.0812	26.2153
woodhousii	quercicus	punctatus	0.292688	2.45944	0.0139152	0.0477987	170.029	56.4518	30.8884
terrestris	speciosus	punctatus	0.381176	3.52781	0.000419013	0.0661722	191.833	72.044	32.2787
woodhousii	speciosus	punctatus	0.287057	2.60916	0.00907636	0.0564543	190.067	74.9693	41.528
terrestris	woodhousii	punctatus	0.112472	1.11461	0.265017	0.00699532	504.64	24.926	19.8859
terrestris	quercicus	speciosus	0.132894	1.25803	0.20838	0.037161	61.1685	98.9188	75.7115
woodhousii	quercicus	speciosus	0.132707	1.30561	0.191684	0.0367493	61.3982	94.8976	72.6613
terrestris	woodhousii	quercicus	0.025381	0.221265	0.824886	0.00220225	368.702	39.1671	37.2281
terrestris	woodhousii	speciosus	0.158056	1.50372	0.132653	0.0191474	396.434	67.5568	49.116
